registry_id,air_program,pgm_sys_acrnm,pgm_sys_ids,pollutant_name,unit_of_measure,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,nei_type,nei_hap_voc_flag
1.1E+11,GHG,GHG,1007877,Carbon dioxide,MTCO2e,288093.3,360910.7,211024.4,252138.8,343201.3,310575.2,268639.3,357095.2,292005.5,320924.9,,
1.1E+11,GHG,GHG,1007877,Methane,MTCO2e,404.5,516,242.75,211.75,220,137.75,264.5,350.25,324.75,1.5,,
1.1E+11,GHG,GHG,1007877,Nitrous oxide,MTCO2e,697.618,890.424,414.518,354.322,362.07,216.05,447.596,591.53,546.83,1.788,,
1.1E+11,NEI,NEI,1082911,Acetaldehyde,Pounds,,453,,,434.5,,,434.6,,,HAP,VOC
1.1E+11,NEI,NEI,1082911,Ammonia,Pounds,,,,,3705,,,3660,,,CAP,
1.1E+11,NEI,NEI,1082911,Anthracene,Pounds,,0.000954429,,,0.000938209,,,0.00130608,,,HAP,VOC
1.1E+11,NEI,NEI,1082911,Benz[a]anthracene,Pounds,,0.000858986,,,0.000844388,,,0.001175472,,,HAP,HAP-VOC
1.1E+11,NEI,NEI,1082911,Benzene,Pounds,,,,,0.4734,,,0.6838,,,HAP,VOC
1.1E+11,NEI,NEI,1082911,Carbon Dioxide,Pounds,,,,,,,,787260291.1,,,GHG,
1.1E+11,NEI,NEI,1082911,Carbon disulfide,Pounds,,204,,,,,,,,,HAP,VOC
1.1E+11,NEI,NEI,1082911,Carbon monoxide,Pounds,,612674.312,,,483920,,,440540,,,CAP,
1.1E+11,NEI,NEI,1082911,Chromium(III),Pounds,,1.35638,,,53.3692,,,53.8844,,,HAP,
1.1E+11,NEI,NEI,1082911,Chromium(VI),Pounds,,0.117808,,,4.6408,,,4.6856,,,HAP,
1.1E+11,NEI,NEI,1082911,Chrysene,Pounds,,0.000174979,,,0.000172005,,,0.000239448,,,HAP,HAP-VOC
1.1E+11,NEI,NEI,1082911,Elemental Carbon portion of PM2.5-PRI,Pounds,,,,,,,,1197.32317,,,OTH,
1.1E+11,NEI,NEI,1082911,Fluoranthene,Pounds,,0.00389725,,,0.003831021,,,0.00533316,,,HAP,HAP-VOC
1.1E+11,NEI,NEI,1082911,Fluorene,Pounds,,0.0149686,,,0.01471425,,,0.02048368,,,HAP,HAP-VOC
1.1E+11,NEI,NEI,1082911,Formaldehyde,Pounds,,,,,0.5994,,,0.8658,,,HAP,VOC
1.1E+11,NEI,NEI,1082911,Hydrochloric acid,Pounds,,21436,,,1017.7,,,1017.8,,,HAP,
1.1E+11,NEI,NEI,1082911,Lead,Pounds,,0.99,,,10.54,,,5.95,,,CAP,
1.1E+11,NEI,NEI,1082911,Manganese,Pounds,,48,,,5.857852819,,,4.012138,,,HAP,
1.1E+11,NEI,NEI,1082911,Mercury,Pounds,,44,,,12.39,,,11.3651,,,HAP,
1.1E+11,NEI,NEI,1082911,Methane,Pounds,,,,,,,,220.4623,,,GHG,
1.1E+11,NEI,NEI,1082911,Naphthalene,Pounds,,,,,0.04302,,,0.06214,,,HAP,VOC
1.1E+11,NEI,NEI,1082911,Nitrate portion of PM2.5-PRI,Pounds,,,,,,,,1604.205266,,,OTH,
1.1E+11,NEI,NEI,1082911,Nitrogen oxides,Pounds,,2101633.42,,,586720,,,576660,,,CAP,
1.1E+11,NEI,NEI,1082911,Nitrous Oxide,Pounds,,,,,,,,22.04623,,,GHG,
1.1E+11,NEI,NEI,1082911,Organic Carbon portion of PM2.5-PRI,Pounds,,,,,,,,4458.50948,,,OTH,
1.1E+11,NEI,NEI,1082911,Phenanthrene,Pounds,,0.01508,,,0.014823707,,,0.02063606,,,HAP,VOC
1.1E+11,NEI,NEI,1082911,"Primary PM condensible portion,  less than 1 micron",Pounds,,7752.730328,,,3496.38513,,,5480.788,,,CAP,
1.1E+11,NEI,NEI,1082911,Primary PM10 (filterables and condensibles),Pounds,,238597.754,,,161917.234,,,139371.8,,,CAP,
1.1E+11,NEI,NEI,1082911,"Primary PM10, filterable portion only",Pounds,,230845.0468,,,158420.845,,,133890.972,,,CAP,
1.1E+11,NEI,NEI,1082911,Primary PM2.5 (filterables and condensibles),Pounds,,93576.578,,,106082.854,,,49146.2,,,CAP,
1.1E+11,NEI,NEI,1082911,"Primary PM2.5, filterable portion only",Pounds,,85823.85082,,,102586.4671,,,43717.292,,,CAP,
1.1E+11,NEI,NEI,1082911,Pyrene,Pounds,,0.0024497,,,0.002408071,,,0.003352264,,,HAP,HAP-VOC
1.1E+11,NEI,NEI,1082911,Remaining PMFINE portion of PM2.5-PRI,Pounds,,,,,,,,35680.7137,,,OTH,
1.1E+11,NEI,NEI,1082911,Sulfate Portion of PM2.5-PRI,Pounds,,,,,,,,6203.99521,,,OTH,
1.1E+11,NEI,NEI,1082911,Sulfur dioxide,Pounds,,46731.69,,,27300,,,26100,,,CAP,
1.1E+11,NEI,NEI,1082911,Toluene,Pounds,,,,,0.207,,,0.299,,,HAP,VOC
1.1E+11,NEI,NEI,1082911,Volatile organic compounds,Pounds,,10002.748,,,10720,,,10800,,,CAP,VOC
1.1E+11,NEI,NEI,1082911,Xylene,Pounds,,,,,0.14472,,,0.20904,,,HAP,VOC
1.1E+11,TRI,TRI,80540STHWS5134U,Ammonia,Pounds,,,2441,2758.1,3705,3138,3051,3660,3669,3617,,
1.1E+11,TRI,TRI,80540STHWS5134U,Chromium compounds -- TRI,Pounds,,,49.53,53.97,58.01,50.02,47.53,58.57,59,63,,
1.1E+11,TRI,TRI,80540STHWS5134U,Lead compounds,Pounds,9.71,10.13,8.87,9.13,10.54,10.33,5.4,5.95,7.92,11.63,,
1.1E+11,TRI,TRI,80540STHWS5134U,Mercury compounds,Pounds,43.65,43.65,43.65,43.65,12.39,12.7,9.6,11.3651,7.3,7.85,,